Method,Alignment,Name,%_T_dw_TG_Deconfounding,%_T_dw_TM_Deconfounding,%_T_dw_TT_Deconfounding,%_GM_dw_TGM_Deconfounding,%_TG_dw_TTG_Deconfounding,%_TM_dw_TTM_Deconfounding,%_TT_dw_TTG_Deconfounding,%_TT_dw_TTM_Deconfounding,GM_dw_TGM,TG_dw_TTG,TM_dw_TTM,TT_dw_TTG,TT_dw_TTM,T_dw_TG,T_dw_TM,T_dw_TT,#EdgesT,#EdgesTT,#EdgesTG,#EdgesTM,#EdgesGM,#EdgesTTG,#EdgesTTM,#EdgesTGM,overallScore,TotalEdgesAllNetworks
DBN_,alignment,DBN_filteredAllSubjects_ibd_t_g_m_alignment_sr7d_nboots100_nParents6.csv,0.947867298578199,2.3696682464455,15.6398104265403,0,0,0,0,0.198807157057654,0,0,0,0,1,2,5,33,211,503,523,414,0,520,415,662,0.699285714285714,3248
DBN_,alignment,DBN_filteredAllSubjects_ibd_t_g_m_alignment_sr7d_nboots100_nParents5.csv,0,1.17647058823529,4.70588235294118,0,0,0,0,0,0,0,0,0,0,0,2,8,170,385,425,334,0,425,334,538,0.727560321715818,2611
DBN_,alignment,DBN_filteredAllSubjects_ibd_t_g_m_alignment_sr7d_nboots100_nParents4.csv,0,0,1.55038759689922,0,0,0,0,0,0,0,0,0,0,0,0,2,129,296,337,0,0,337,265,422,0.752357222844345,1786
DBN_,noalignment,DBN_filteredAllSubjects_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6.csv,1.99004975124378,1.99004975124378,9.45273631840796,0,0,0,0,0,0,0,0,0,0,4,4,19,201,489,511,382,0,511,381,618,0.737892014225671,3093
DBN_,noalignment,DBN_filteredAllSubjects_ibd_t_g_m_noalignment_sr7d_nboots100_nParents5.csv,0,1.25,1.25,0,0,0,0,0,0,0,0,0,0,0,2,2,160,396,431,312,0,433,311,512,0.745432485322896,2555
DBN_,noalignment,DBN_filteredAllSubjects_ibd_t_g_m_noalignment_sr7d_nboots100_nParents4.csv,0,0,0.819672131147541,0,0,0,0,0,0,0,0,0,0,0,0,1,122,296,345,0,0,345,234,412,0.767320410490308,1754
Tigramite_,alignment,Tigramite_filteredAllSubjects_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_CMIknn.csv,293.252595155709,178.200692041523,304.152249134948,0,0,0,54.3824701195219,39.6414342629482,0,0,0,1638,1194,1695,1030,1758,578,3012,1247,1360,44,1330,1408,20,0.142787107064183,8999
Tigramite_,alignment,Tigramite_filteredAllSubjects_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_GPDC.csv,375.561097256858,154.364089775561,368.57855361596,0,0,0,33.1939362258233,22.5823314166231,0,0,0,1270,864,3012,1238,2956,802,3826,1717,1380,53,852,1246,79,0.157951960291902,9955
Tigramite_,alignment,Tigramite_filteredAllSubjects_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr.csv,49.5094339622641,20.9811320754717,85.5849056603774,0,0,0,8.50197109067017,2.91721419185283,0,0,0,647,222,656,278,1134,1325,7610,4793,3294,675,4785,3283,1552,0.217866199816677,27317
Tigramite_,alignment,Tigramite_filteredAllSubjects_ibd_t_g_m_alignment_sr7d_bs0.1_a0.001_ptreshold0.05_T1_test_GPDC.csv,0,2.73972602739726,32.8767123287671,0,0,0,0,0,0,0,0,0,0,0,2,24,73,347,34,50,53,47,28,78,0.235404584368959,710
Tigramite_,alignment,Tigramite_filteredAllSubjects_ibd_t_g_m_alignment_sr7d_bs0.1_a0.001_ptreshold0.05_T1_test_ParCorr.csv,0.327332242225859,20.6219312602291,143.698854337152,0,0,0,0,4.54545454545455,0,0,0,0,45,2,126,878,611,990,125,560,53,126,583,80,0.204503284689835,3128
Tigramite_,noalignment,Tigramite_filteredAllSubjects_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_CMIknn.csv,26.3392857142857,115.625,178.125,0,0,0,3.22173089071383,14.6557169930512,0,0,0,51,232,59,259,399,224,1583,297,543,53,289,519,76,0.1331640625,3584
Tigramite_,noalignment,Tigramite_filteredAllSubjects_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_GPDC.csv,412.645914396887,188.715953307393,93.9688715953307,0,0,0,52.6357700270744,31.4222009874184,0,0,0,3305,1973,4242,1940,966,1028,6279,2318,1831,53,2667,1870,80,0.156574476001488,16126
Tigramite_,noalignment,Tigramite_filteredAllSubjects_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr.csv,36.4238410596026,15.2317880794702,21.7071376011773,0,0,0,6.70299036999493,2.04004054738976,0,0,0,529,161,495,207,295,1359,7892,4693,3265,694,4707,3265,1691,0.197308278313865,27566
Tigramite_,noalignment,Tigramite_filteredAllSubjects_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.001_ptreshold0.05_T1_test_GPDC.csv,1.54241645244216,77.3778920308483,18.2519280205656,0,0,0,0,1.53846153846154,0,0,0,0,6,6,301,71,389,390,177,411,52,61,190,78,0.176315789473684,1748
Tigramite_,noalignment,Tigramite_filteredAllSubjects_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.001_ptreshold0.05_T1_test_ParCorr.csv,0,13.969571230982,328.769017980636,0,0,0,0,2.08568207440812,0,0,0,0,37,0,101,2377,723,1774,182,582,53,175,589,86,0.18335734870317,4164
PyCausal_,alignment,PyCausal_filteredAllSubjects_ibd_t_g_m_alignment_sr7d_a0.0001_nboots10_testPositiveCorr.csv,2.7972027972028,1.3986013986014,11.8881118881119,4.1025641025641,0,0,1.88284518828452,0,8,0,0,9,0,4,2,17,143,478,321,234,195,349,265,513,0.256744115292234,2498
PyCausal_,alignment,PyCausal_filteredAllSubjects_ibd_t_g_m_alignment_sr7d_a0.001_nboots10_testPositiveCorr.csv,24.6913580246914,4.32098765432099,7.40740740740741,3.66300366300366,0,0,4.67836257309941,0,10,0,0,8,0,40,7,12,162,171,379,159,273,423,197,733,0.303146816179415,2497
PyCausal_,noalignment,PyCausal_filteredAllSubjects_ibd_t_g_m_noalignment_sr7d_a0.0001_nboots10_testPositiveCorr.csv,2.18978102189781,1.45985401459854,2.91970802919708,0.709219858156028,0,0,1.35135135135135,0,1,0,0,3,0,3,2,4,137,222,375,227,141,442,181,407,0.290513930581614,2132
PyCausal_,noalignment,PyCausal_filteredAllSubjects_ibd_t_g_m_noalignment_sr7d_a0.001_nboots10_testPositiveCorr.csv,15.5778894472362,3.51758793969849,7.03517587939699,2.4390243902439,0,0,1.54440154440154,0,5,0,0,4,0,31,7,14,199,259,512,298,205,518,266,599,0.254569782913165,2856
